NORESM2-LM Tuned Parameters for Different Thermal Boxes,,
Thermal Box,d,q
1,3.8120483136891585,0.2641454317200007
2,58.06798168895162,2.9904704193310665
3,6280744663.464376,6.954524729408207e-07
